"INCIDENT_ID","FIRST_OCCURENCE_DATE","LAST_OCCURENCE_DATE","REPORT_DATE","INCIDENT_ADDRESS","GEO_X","GEO_Y","DISTRICT_ID","PRECINCT_ID","OFFENSE_CODE","OFENSE_TYPE_ID","OFENSE_CATEGORY_ID","MJ_RELATION_TYPE","SIZE_QTY_LBS","SIZE_QTY_GRAMS","RECORD_CREATED_DATETIME","RECORD_UPDATED_DATETIME"
"2018695009","10/8/2018","10/8/2018","10/10/2018","1995 S BROADWAY ST                                ","3144121.00","1673150.00","3","313","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018695247","10/10/2018","1/1/1900","10/10/2018","702 N WOLFF ST                                    ","3127030.00","1690682.00","1","122","3560    ","DRUG - MARIJUANA SELL","Drug Offenses","NON-INDUSTRY","","","",""
"2018695247","10/10/2018","1/1/1900","10/10/2018","702 N WOLFF ST                                    ","3127030.00","1690682.00","1","122","3599    ","DRUG - PCS - OTHER DRUG","Drug Offenses","NON-INDUSTRY","","","",""
"2018697734","10/11/2018","1/1/1900","10/11/2018","4567 N DEARBORN ST                                ","3191039.00","1708733.00","5","521","3560    ","DRUG - MARIJUANA SELL","Drug Offenses","NON-INDUSTRY","","","",""
"2018699043","10/12/2018","10/12/2018","10/12/2018","4820 MORRISON RD                                  ","3126979.00","1679901.00","4","412","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018699146","10/12/2018","10/12/2018","10/12/2018","399 S HARRISON ST                                 ","3157075.00","1683778.00","3","311","2999    ","CRIMINAL MISCHIEF - OTHER","Criminal Mischief-Property","INDUSTRY","","","",""
"2018700943","10/12/2018","1/1/1900","10/12/2018","15 S STEELE ST                                    ","3154360.00","1686227.00","3","311","1205    ","ROBBERY - STREET","Robbery-Street-Res","NON-INDUSTRY","","","",""
"2018701888","10/13/2018","10/13/2018","10/13/2018","2020 S BROADWAY ST                                ","3144349.00","1672869.00","3","313","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018701892","10/13/2018","10/13/2018","10/13/2018","1568 S BROADWAY ST                                ","3144286.00","1675958.00","3","313","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018701934","10/13/2018","10/13/2018","10/13/2018","2835 S MONACO ST                                  ","3165121.00","1667828.00","3","323","2404    ","THEFT - OF MOTOR VEHICLE","Auto Theft","NON-INDUSTRY","","","",""
"2018701946","10/12/2018","10/12/2018","10/13/2018","N DAHLIA ST / E 33RD AVE                          ","3159722.00","1703387.00","2","221","1313","ASSAULT - SIMPLE","Simple Assault","NON-INDUSTRY","","","",""
"2018703896","10/14/2018","10/14/2018","10/14/2018","10625 E 51ST AVE                                  ","3178574.00","1713537.00","5","511","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018704169","10/14/2018","1/1/1900","10/14/2018","1568 S FEDERAL BLVD                               ","3133861.00","1675958.00","4","422","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018706589","10/14/2018","10/14/2018","10/15/2018","1196 S BANNOCK ST                                 ","3143513.00","1678430.00","3","313","2999    ","CRIMINAL MISCHIEF - OTHER","Criminal Mischief-Property","INDUSTRY","","","",""
"2018711740","9/15/2018","9/15/2018","10/17/2018","5201 W 48TH AVE                                   ","3125451.00","1710769.00","1","111","2303    ","THEFT - SHOPLIFT","Larceny","INDUSTRY","","","",""
"2018715570","10/19/2018","10/19/2018","10/19/2018","3100 BLAKE ST                                     ","3145964.00","1703803.00","2","211","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018738858","10/29/2018","10/29/2018","10/29/2018","2645 S SANTA FE DR                                ","3141742.00","1668660.00","3","313","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018738863","10/29/2018","10/29/2018","10/29/2018","2601 W ALAMEDA AVE                                ","3135546.00","1684354.00","4","411","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018739785","10/29/2018","10/29/2018","10/29/2018","755 S FEDERAL BLVD                                ","3133515.00","1681258.00","4","412","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018743392","10/30/2018","10/30/2018","10/30/2018","930 W BYERS PL                                    ","3141142.00","1684540.00","3","311","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
